,age,weight,height,gender,activity,kcal,breakfast,breakfast_kcal,lunch,lunch_kcal,dinner,dinner_kcal,total_kcal,workout,workout_kcal,label
2017-02-06 22:20:03.210235,23,75,176,male,low,2088.0,"BABYFOOD,PRUNES,WO/VIT C,STR",100,"GRANOLA BARS,SOFT,COATD,MILK CHOC COATING,CHOC CHIP",466,"CEREALS,RALSTON,DRY",341,907,"Cycling (stationary, 250W)",990.0,1
2017-02-07 22:20:03.210235,23,75,176,male,heavy,3001.5,"ALCOHOLIC BEV,WINE,TABLE,RED,PETITE SIRAH",85,"CEREALS RTE,GENERAL MILLS,BERRY BURST CHEERIOS,TRIPLE BERRY",378,"INF FO,ME JOHN,EN,NUTR LIPIL,W/ IRON,RE TO FE,W/ ARA & DHA",66,529,Circuit Training,630.0000000000001,1
2017-02-08 22:20:03.210235,23,75,176,male,mid,2697.0,"LAMB,AUS,IMP,FRSH,COMP OF RTL CUTS,LN,1/8""FAT,RAW",142,"BEEF,RND,FULL CUT,LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",235,"PUDDINGS,LEMON,DRY MIX,REG,W/ ADDED OIL,K,NA",366,743,Weight Training (hard),450.0,0
2017-02-09 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"EMU,GROUND,RAW",134,"LENTILS,SPROUTED,CKD,STIR-FRIED,WO/SALT",101,"BREAD CRUMBS,DRY,GRATED,PLN",395,630,"Walking (3.5 mph, 17 min/mile)",315.00000000000006,0
2017-02-10 22:20:03.210235,23,75,176,male,mid,2697.0,"VEAL,SIRLOIN,LN&FAT,RAW",152,"PORK,FRSH,SHLDR,(BOSTON BUTT),BLADE (STEAKS),LN & FAT,RAW",186,"PORK,CURED,HAM W/ NAT JUICES,WHL,BNLESS,LN & FAT,HTD,RSTD",114,452,Bathing/Dressing,180.0,0
2017-02-11 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"Poultry food products, ground turkey, cooked",203,"CAKE,CHOC,COMMLY PREP W/ CHOC FRSTNG,IN-STORE BAKERY",389,"APPLES,DRIED,SULFURED,STWD,WO/ SUGAR",57,649,Trimming (manual),315.00000000000006,0
2017-02-12 22:20:03.210235,23,75,176,male,light,2392.5,"BREAD,OATMEAL",269,"BAMBOO SHOOTS,CND,DRND SOL",19,"ICE CRM,SOFT SERVE,CHOC",222,510,"Running (5 mph, 12 min/mile)",540.0,1
2017-02-13 22:20:03.210235,23,75,176,male,mid,2697.0,"POTATOES,MSHD,DEHYD,GRANULES W/MILK,DRY FORM",357,"MARGARINE-LIKE,VEG OIL-BUTTER SPRD,TUB,W/ SALT",362,"SAUCE,HOMEMADE,WHITE,THICK",186,905,"Mowing Lawn (walking, power)",360.0,0
2017-02-14 22:20:03.210235,23,75,176,male,mid,2697.0,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,0""FAT,CHOIC,CKD,BRLD",312,"CAMPBELL'S CHUNKY SOUPS,ITALIAN SAUSAGE & PEPPERS SOUP",62,"PORK,SHLDR,PETITE TENDER,BNLESS,LN & FAT,CKD,BRLD",155,529,"Running (8.6 mph, 7 min/mile)",1080.0,1
2017-02-15 22:20:03.210235,23,75,176,male,low,2088.0,"CHICKEN,BROILERS OR FRYERS,NECK,MEAT&SKN,RAW",297,"WATER,BTLD,NON-CARBONATED,CRYSTAL GEYSER",0,"FISH,WHITEFISH,EGGS (ALASKA NATIVE)",104,401,Rowing (200W),945.0,1
2017-02-16 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"TURKEY FROM WHL,ENHANCED,LT MEAT,MEAT & SKN,CKD,RSTD",157,"CEREALS,WHEATENA,DRY",357,"SOUP,CRM OF CHICK,CND,PREP W/ EQ VOLUME MILK",77,591,Sitting Activities (very light),135.0,0
2017-02-17 22:20:03.210235,23,75,176,male,light,2392.5,"LAMB,AUS,IMP,FRSH,LEG,CNTR SLICE,BONE-IN,LN&FAT,1/8""FAT,RAW",195,"OSCAR MAYER,BOLOGNA (BEEF LIGHT)",200,"LOTUS ROOT,RAW",74,469,Raking Leaves,315.00000000000006,0
2017-02-18 22:20:03.210235,23,75,176,male,light,2392.5,"PORK,FRSH,SHLDR,WHL,LN,CKD,RSTD",230,"PUFF PASTRY,FRZ,RTB,BKD",558,"PORK,FRSH,LOIN,COUNTRY-STYLE RIBS,LN&FAT,CKD,BRSD",273,1061,Playing with Kids (standing),225.0,0
2017-02-19 22:20:03.210235,23,75,176,male,low,2088.0,"MORNINGSTAR FARMS GRILLERS VEGAN,FRZ,UNPREP",132,"LAMB,DOM,LEG,SIRLOIN HALF,LN,1/4""FAT,CHOIC,CKD,RSTD",204,"MUSTARD GRNS,CKD,BLD,DRND,W/SALT",26,362,"Sexual Activity (kissing, hugs)",90.0,0
2017-02-20 22:20:03.210235,23,75,176,male,low,2088.0,"BREAD,PAN DULCE,SWT YEAST BREAD",367,"SEAL,BEARDED (OOGRUK),MEAT,RAW (ALASKA NATIVE)",110,"CELERIAC,RAW",42,519,"Cycling (moderate, 12.1-14 mph)",630.0000000000001,1
2017-02-21 22:20:03.210235,23,75,176,male,heavy,3001.5,"TEA,RTD,ARIZONA ICED TEA,W/ LEMON FLAVOR",39,"GRAVY,CHICKEN,DRY",381,"CRISPED RICE BAR,CHOC CHIP",404,824,"Cycling (light-moderate, 10-12 mph)",450.0,0
2017-02-22 22:20:03.210235,23,75,176,male,mid,2697.0,"BF,CHK, CLOD,TOP & CNTR,STK,LN & FAT,0"" FAT,SEL,CKD,GRLD",176,"MCDONALD'S,BACON RANCH SALAD W/ GRILLED CHICK",81,"SOUP,RAMEN NOODLE,BF FLAVOR,DRY",436,693,"Walking (3.5 mph, 17 min/mile)",315.00000000000006,0
2017-02-23 22:20:03.210235,23,75,176,male,light,2392.5,"USDA COMMODITY,PORK,CURED,HAM,BNLESS,CKD,HTD",149,"BEEF,RIB EYE RST,BNE-IN,LP-ON,LN & FT,1/8"" FT,AL GRD,CKD,RST",300,"TOMATO SAU,CND,NO SALT ADDED",29,478,Circuit Training,630.0000000000001,1
2017-02-24 22:20:03.210235,23,75,176,male,heavy,3001.5,"BEANS,GREAT NORTHERN,MATURE SEEDS,CKD,BLD,W/SALT",118,"RENNIN,CHOC,DRY MIX,PREP W/ 2% MILK",85,"CHICKEN,WING,FRZ,GLAZED,BBQ FLAV,HTD (CONVENTIONAL OVEN)",242,445,Rowing (200W),945.0,1
2017-02-25 22:20:03.210235,23,75,176,male,light,2392.5,"MORI-NU,TOFU,SILKEN,LITE FIRM",37,"COWPEAS (BLACKEYES),IMMAT SEEDS,RAW",90,"SOUP,TOMATO BF W/ NOODLE,CND,COND",112,239,Walking (4 mph 15 min/mile),360.0,1
2017-02-26 22:20:03.210235,23,75,176,male,heavy,3001.5,"PLANTAINS,GRN,FRIED",309,"BAGEL,WHEAT",250,"SNACKS,M&M MARS,KUDOS WHL GRAIN BARS,PNUT BUTTER",463,1022,Circuit Training,630.0000000000001,0
2017-02-27 22:20:03.210235,23,75,176,male,mid,2697.0,"SQUASH,WNTR,ACORN,CKD,BKD,W/SALT",56,"SAUCE,COCKTAIL,RTS",124,"VEG OIL SPRD,UNSPEC OILS,APPROX 37% FAT,W/ SALT",339,519,Running (7.5 mph 8 min/mile),990.0,1
2017-02-28 22:20:03.210235,23,75,176,male,mid,2697.0,"BEEF,AUSTRALIAN,GRSSFD,RND,BTTM RND STEAK/ROAST,BNLSS,LN,RAW",130,"BEEF,SHLDR POT RST,BNLESS,LN & FAT,0"" FAT,ALL GRDS,CKD,BRSD",204,"ORANGE BRKFST DRK,RTD,W/ ADDED NUTR",53,387,Swimming (moderate),630.0000000000001,1
2017-03-01 22:20:03.210235,23,75,176,male,light,2392.5,"CHEWING GUM,SUGARLESS",268,"WORTHINGTON DICED CHIK,CND,UNPREP",80,"PIGEON PEAS (RED GM),MATURE SEEDS,CKD,BLD,W/SALT",121,469,"Mowing Lawn (walking, power)",360.0,0
2017-03-02 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"WORTHINGTON MEATLESS CHICK ROLL,FRZ,UNPREP",154,"CARROTS,CND,REG PK,DRND SOL",25,"PEPPERS,CHILI,GRN,CND",21,200,Bathing/Dressing,180.0,0
2017-03-03 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"MUSTARD SPINACH,(TENDERGREEN),CKD,BLD,DRND,WO/SALT",16,"BROCCOLI,FRZ,SPEARS,UNPREP",29,FRANCO-AMERICN FAT FR SLW RST BF GRAVY,34,79,Playing with Kids (standing),225.0,1
2017-03-04 22:20:03.210235,23,75,176,male,heavy,3001.5,"CEREALS,KASHI GO LN HOT CRL,CREAMY TRULY VANILLA,DRY",367,"BABYFOOD,FRUIT,BANANAS&PNAPPL W/TAPIOCA,JR",68,"YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER",105,540,Rowing (50W),270.0,0
2017-03-05 22:20:03.210235,23,75,176,male,low,2088.0,"LIMEADE,FRZ CONC,PREP W/H2O",52,"SESAME BUTTER,PASTE",586,"BEEF,AUSTRALIAN,WAGYU,EXTERNAL FAT,AUST. MARBLE SCORE 9,RAW",639,1277,"Cycling (light-moderate, 10-12 mph)",450.0,0
2017-03-06 22:20:03.210235,23,75,176,male,low,2088.0,"CAMPBELL'S,SPAGHETTIOS,SPAGHETTIO'S W/ MEATBALLS",95,"CAMPBELL'S,SPAGHETTIOS,W/ MEATBALLS -",87,"CAMPBELL'S RED & WHITE,PEPPER POT SOUP,COND",71,253,Laundry Folding/Making Bed,180.0,0
2017-03-07 22:20:03.210235,23,75,176,male,low,2088.0,"CEREALS RTE,GENERAL MILLS,WHEAT CHEX",345,"PEPPERONI,PORK,BEEF",494,"PIE,MINCE,PREP FROM RECIPE",289,1128,"Cycling (light-moderate, 10-12 mph)",450.0,0
2017-03-08 22:20:03.210235,23,75,176,male,low,2088.0,"WENDY'S,CLASSIC DOUBLE,W/ CHS",241,"BREADFRUIT,RAW",103,"CEREALS RTE,KELLOGG,KELLOGG'S RICE KRISPIES",381,725,"Walking (3.5 mph, 17 min/mile)",315.00000000000006,0
2017-03-09 22:20:03.210235,23,75,176,male,heavy,3001.5,"PORK,FRSH,LOIN,COUNTRY-STYLE RIBS,LN & FAT,BNLESS,CKD,BRLD",247,"GAME MEAT,RABBIT,DOMESTICATED,COMP OF CUTS,CKD,RSTD",197,"MCDONALD'S,HOT CARAMEL SUNDAE",188,632,Rowing (50W),270.0,0
2017-03-10 22:20:03.210235,23,75,176,male,low,2088.0,"CLAM,MIXED SPECIES,RAW",86,"MILK,DRY,WHL,WO/ ADDED VITAMIN D",496,"CHERRIES,SOUR,RED,CND,LT SYRUP PK,SOL&LIQUIDS",75,657,Aerobics (low impact),405.0,0
2017-03-11 22:20:03.210235,23,75,176,male,heavy,3001.5,"FRUIT SALAD,TROPICAL,CND,HVY SYRUP,SOL&LIQUIDS",86,"PEARS,ASIAN,RAW",42,"BEEF,LOIN,T-BONE STEAK,LN & FAT,0"" FAT,USDA CHOIC,CKD,BRLD",258,386,Kayaking (leisure),180.0,0
2017-03-12 22:20:03.210235,23,75,176,male,low,2088.0,"BREAD,BOSTON BROWN,CANNED",195,"CEREALS RTE,GENERAL MILLS,BERRY BERRY KIX",376,"CAMPBELL'S,RED & WHITE,98% FAT FREE CRM OF MUSHROOM SOUP,CON",48,619,"Calisthenics (push-ups, etc.)",360.0,0
2017-03-13 22:20:03.210235,23,75,176,male,low,2088.0,"TURKEY,ENHANCED,DK MEAT FROM WHL,MEAT & SKN,CKD,RSTD",199,"GAME MEAT,DEER,SHLDR CLOD,LN,3-5 LB RST,CKD,BRSD",191,"ROLLS,HAMBURGER OR HOTDOG,MIXED-GRAIN",263,653,Aerobics (low impact),405.0,0
2017-03-14 22:20:03.210235,23,75,176,male,heavy,3001.5,"PIZZA HUT 12"" SUPER SUPREME PIZZA,HAND-TOSSED CRUST",243,"MORNINGSTAR FARMS MINI VEGGIE CORN DOGS,FRZ,UNPREP",219,"CINNAMON BUNS,FRSTD (INCLUDES HONEY BUNS)",436,898,Swimming (moderate),630.0000000000001,0
2017-03-15 22:20:03.210235,23,75,176,male,low,2088.0,"RICE,WHITE,SHORT-GRAIN,CKD,UNENR",130,"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,CKD,FRIED,BATTER",324,"KRUSTEAZ ALMOND POPPYSEED MUFFIN MIX,ARTIFICIALLY FLAV,DRY",418,872,Walking (4 mph 15 min/mile),360.0,0
2017-03-16 22:20:03.210235,23,75,176,male,heavy,3001.5,"CHICKPEAS (GARBANZO BNS,BENGAL GRAM),MATURE SDS,CND,SOL&LIQ",88,"BABYFOOD,CRL,MXD,W/BANANAS,PREP W/WHL MILK",86,"BABYFOOD,MEAT,CHICK,STR",130,304,Swimming (light),450.0,1
2017-03-17 22:20:03.210235,23,75,176,male,low,2088.0,"CHEESE,CREAM",342,"WORTHINGTON VEJA-LINKS,CND,UNPREP",155,"BABYFOOD,DINNER,BROCCOLI & CHICK,JR",62,559,"Running (8.6 mph, 7 min/mile)",1080.0,1
2017-03-18 22:20:03.210235,23,75,176,male,low,2088.0,"TEA,INST,SWTND W/SUGAR,LEMON-FLAVORED,WO/ VIT C,PDR,PREP",35,"PEACHES,RAW",39,"INF FORMULA,ABBOTT NUTR,SIMILAC,ADVANC,W/ IRON,PDR,NOT RECON",522,596,"Running (8.6 mph, 7 min/mile)",1080.0,1
2017-03-19 22:20:03.210235,23,75,176,male,low,2088.0,CARAWAY SEED,333,"BEEF,TOP SIRLOIN,STEAK,LN,0"" FAT,SEL,CKD,BRLD",177,"LAMB,AUS,IMP,FRSH,LEG,CNTR SLCE,BNE-IN,LN&FT,1/8""FT,CKD,BRLD",215,725,Kayaking (leisure),180.0,0
2017-03-20 22:20:03.210235,23,75,176,male,mid,2697.0,"USDA CMDTY PEARS,CND,JUC PK,DRND",51,"SQUASH,WNTR,BUTTERNUT,CKD,BKD,WO/SALT",40,"KAMUT,UNCKD",337,428,"Running (5 mph, 12 min/mile)",540.0,1
2017-03-21 22:20:03.210235,23,75,176,male,low,2088.0,"AUSTIN,PNUT BUTTER ON CHS CRACKERS,SANDWICH-TYPE,RED FAT",461,"CEREALS,MAYPO,CKD W/ H2O,WO/ SALT",71,"CAMPBELL'S LO NA SOUPS,CHICK W/ NOODLES SOUP",52,584,Laundry Folding/Making Bed,180.0,0
2017-03-22 22:20:03.210235,23,75,176,male,mid,2697.0,"CHICORY ROOTS,RAW",72,"LAMB,DOM,COMP OF RTL CUTS,FAT,1/4""FAT,CHOIC,CKD",586,"COOKIES,SHORTBREAD,COMMLY PREP,PLN",502,1160,"Calisthenics (push-ups, etc.)",360.0,0
2017-03-23 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"BEEF,CHUCK,ARM POT RST,LN,1/8"" FAT,ALL GRDS,CKD,BRSD",214,"OSCAR MAYER,BRAUNSCHWEIGER LIVER SAUSAGE (SLICED)",331,NATTO,212,757,Golf (walking + bag),405.0,0
2017-03-24 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"FROZEN NOVELTIES,NO SUGAR ADDED,FUDGESICLE POPS",105,"CUTTLEFISH,MXD SP,RAW",79,"SESAME FLOUR,LOW-FAT",333,517,Racquetball (recreational),315.00000000000006,0
